periodo_mes	mes	ano	decada	meta_acumulada_mes	selic_acumulada_mes	ipca_mes
2004-02	FEV	2004	2000	1.0968365328675178	1.0840847888893057	0.61
2004-03	MAR	2004	2000	1.3949987749360737	1.379571216454356	0.47
2004-04	ABR	2004	2000	1.1926817073470763	1.1800825915170288	0.37
2004-05	MAI	2004	2000	1.2445137919713023	1.229678129749212	0.51
2004-06	JUN	2004	2000	1.2445137919713023	1.229227147037859	0.71
2004-07	JUL	2004	2000	1.3041611620196347	1.2891089936360123	0.91
2004-08	AGO	2004	2000	1.3041611620196347	1.2933769975971732	0.69
2004-09	SET	2004	2000	1.2540285664541795	1.2498028886535506	0.33
2004-10	OUT	2004	2000	1.2159812751152188	1.2148767625777435	0.44
2004-11	NOV	2004	2000	1.252121759606406	1.2511263047907173	0.69
2004-12	DEZ	2004	2000	1.4836133621705772	1.482447256016739	0.86
2005-01	JAN	2005	2000	1.3845621152413168	1.3841179227466638	0.58
2005-02	FEV	2005	2000	1.2181174701853204	1.2181174701853204	0.59
2005-03	MAR	2005	2000	1.5285175193251677	1.5281796516809054	0.61
2005-04	ABR	2005	2000	1.4121012116162124	1.411830786798829	0.87
2005-05	MAI	2005	2000	1.5023596865332722	1.502797847626347	0.49
2005-06	JUN	2005	2000	1.5859338568035453	1.5851932036414773	-0.02
2005-07	JUL	2005	2000	1.513303295764934	1.512361321185418	0.25
2005-08	AGO	2005	2000	1.65861638342919	1.6582794954258295	0.17
2005-09	SET	2005	2000	1.5032014607409439	1.5020897113555254	0.35
2005-10	OUT	2005	2000	1.4104015092888167	1.4090521212428264	0.75
2005-11	NOV	2005	2000	1.381685827296475	1.38050176893465	0.55
2005-12	DEZ	2005	2000	1.4724821908166819	1.472142372338281	0.36
2006-01	JAN	2006	2000	1.432356424780834	1.4326653744783036	0.59
2006-02	FEV	2006	2000	1.143186581818223	1.1438027206043255	0.41
2006-03	MAR	2006	2000	1.419137315440544	1.4193432549584717	0.43
2006-04	ABR	2006	2000	1.0812914897785797	1.0802516604093704	0.21
2006-05	MAI	2006	2000	1.2850820149780562	1.28126167287137	0.1
2006-06	JUN	2006	2000	1.189801624331266	1.1846785160688933	-0.21
2006-07	JUL	2006	2000	1.1758357198584868	1.170424738159781	0.19
2006-08	AGO	2006	2000	1.2619049633174395	1.255458360020234	0.05
2006-09	SET	2006	2000	1.0629014979340878	1.057283326088565	0.21
2006-10	OUT	2006	2000	1.0987447270914386	1.0928312066948775	0.33
2006-11	NOV	2006	2000	1.025962247393175	1.0203910275693673	0.31
2006-12	DEZ	2006	2000	0.9924125367691827	0.9881649996895225	0.48
2007-01	JAN	2007	2000	1.087761264457976	1.0829046300254719	0.44
2007-02	FEV	2007	2000	0.8768047008469892	0.8723398411347505	0.44
2007-03	MAR	2007	2000	1.057591326832319	1.0521151538089857	0.37
2007-04	ABR	2007	2000	0.9498388742171127	0.9448589045283118	0.25
2007-05	MAI	2007	2000	1.0335694043013932	1.0280796020166738	0.28
2007-06	JUN	2007	2000	0.9106256024837611	0.9056231263331993	0.28
2007-07	JUL	2007	2000	0.9781507644402554	0.9726293585121448	0.24
2007-08	AGO	2007	2000	0.9984641455502041	0.9926753374548181	0.47
2007-09	SET	2007	2000	0.8097365598411566	0.8049543778374746	0.18
2007-10	OUT	2007	2000	0.9350645754163667	0.9295184847949667	0.3
2007-11	NOV	2007	2000	0.8496986275573271	0.8446609786034287	0.38
2007-12	DEZ	2007	2000	0.8496986275573271	0.8446609786034287	0.74
2008-01	JAN	2008	2000	0.9350645754163667	0.9295184847949667	0.54
2008-02	FEV	2008	2000	0.8070427318263906	0.802258983558013	0.49
2008-03	MAR	2008	2000	0.8496986275573271	0.8446609786034287	0.48
2008-04	ABR	2008	2000	0.9085321855025308	0.901635979509674	0.55
2008-05	MAI	2008	2000	0.8855972025018755	0.8769950506474	0.79
2008-06	JUN	2008	2000	0.9622718848207201	0.9558392350192069	0.74
2008-07	JUL	2008	2000	1.076305537798783	1.0697400330294649	0.53
2008-08	AGO	2008	2000	1.0236844358175068	1.0177224016101771	0.28
2008-09	SET	2008	2000	1.1098442403900677	1.1031250604708775	0.26
2008-10	OUT	2008	2000	1.1827959342119332	1.1754158915776802	0.45
2008-11	NOV	2008	2000	1.0277283303361306	1.020676620256289	0.36
2008-12	DEZ	2008	2000	1.1310803050018636	1.123809816474619	0.28
2009-01	JAN	2009	2000	1.0546013970456292	1.047916326203313	0.48
2009-02	FEV	2009	2000	0.8608469620629888	0.855094132089973	0.55
2009-03	MAR	2009	2000	0.9779889097270011	0.9708891301660527	0.2
2009-04	ABR	2009	2000	0.8460851488567123	0.8396049287414886	0.48
2009-05	MAI	2009	2000	0.7774536479678629	0.7709220417139173	0.47
2009-06	JUN	2009	2000	0.769107254487511	0.7622107748078033	0.36
2009-07	JUL	2009	2000	0.7978760240072491	0.7900261138930498	0.24
2009-08	AGO	2009	2000	0.7014611604138965	0.6937413192385389	0.15
2009-09	SET	2009	2000	0.7014611604138965	0.6937413192385389	0.24
2009-10	OUT	2009	2000	0.7014611604138965	0.6937413192385389	0.28
2009-11	NOV	2009	2000	0.6679469448896302	0.6605971486614459	0.41
2009-12	DEZ	2009	2000	0.7349865334383976	0.7268964030833214	0.37
2010-01	JAN	2010	2010	0.6679469448896302	0.6605971486614459	0.75
2010-02	FEV	2010	2010	0.6009519714898603	0.5943415329427548	0.78
2010-03	MAR	2010	2010	0.7685230676776733	0.7600624037891857	0.52
2010-04	ABR	2010	2010	0.6734381950299628	0.6660930343823646	0.57
2010-05	MAI	2010	2010	0.7591534290585011	0.7514820932335242	0.43
2010-06	JUN	2010	2010	0.8001009412911486	0.7930084420372241	0.0
2010-07	JUL	2010	2010	0.8682081603635705	0.8610272805070984	0.01
2010-08	AGO	2010	2010	0.8953795580621593	0.8882188939282276	0.04
2010-09	SET	2010	2010	0.8545071039483876	0.8476746824402692	0.45
2010-10	OUT	2010	2010	0.813651207158772	0.8071467645602626	0.75
2010-11	NOV	2010	2010	0.813651207158772	0.8071467645602626	0.83
2010-12	DEZ	2010	2010	0.9362685762101419	0.92877940557472	0.63
2011-01	JAN	2011	2010	0.8689303685144756	0.8623967121769383	0.83
2011-02	FEV	2011	2010	0.8496986275573271	0.843941076111232	0.8
